Town,median_cost_per_bed,median_ownership_per_bed,listings,ZIP_CODE,median_rent_per_bed,rental_listings,gap
"Boston, MA : South Boston",184047.62,1203.98,4,2127,1666.67,5,462.69000000000005
"Cambridge, MA",258333.33,1689.93,3,2139,1783.33,8,93.39999999999986
"Springfield, MA",98150.0,642.06,634,1118,660.0,5,17.940000000000055
"Brookline, MA",236666.67,1548.19,4,2445,1541.67,8,-6.519999999999982
"Brockton, MA",154250.0,1009.05,427,2302,1000.0,3,-9.049999999999955
"Marlborough, MA",185000.0,1210.21,197,1752,1166.67,5,-43.539999999999964
"Boston, MA : Roxbury",176666.67,1155.69,7,2119,1075.0,5,-80.69000000000005
"Attleboro, MA",170000.0,1112.08,277,2703,1000.0,4,-112.07999999999993
"Winchester, MA",253750.0,1659.95,9,1890,1491.67,6,-168.27999999999997
"Stoughton, MA",180333.33,1179.68,181,2072,1000.0,3,-179.68000000000006
"Wellesley, MA",261250.0,1709.01,4,2482,1500.0,7,-209.01
"Fall River, MA",139250.0,910.93,254,2720,700.0,6,-210.92999999999995
"Ashland, MA",205833.33,1346.49,92,1721,1133.33,17,-213.16000000000008
"Worcester, MA",148333.33,970.35,507,1606,733.33,10,-237.01999999999998
"Newton, MA",240375.0,1572.45,12,2460,1333.33,13,-239.12000000000012
"Boston, MA : West Roxbury",230000.0,1504.58,66,2132,1250.0,3,-254.57999999999993
"Boston, MA",196208.33,1283.53,62,2136,1025.0,22,-258.53
"Watertown, MA",241458.33,1579.54,32,2472,1316.67,10,-262.8699999999999
"Lowell, MA",166666.67,1090.28,243,1852,816.67,6,-273.61
"Revere, MA",193333.33,1264.72,159,2151,983.33,4,-281.39
"Bedford, MA",242000.0,1583.08,41,1730,1300.0,5,-283.0799999999999
"Needham, MA",250000.0,1635.42,11,2492,1350.0,4,-285.4200000000001
"New Bedford, MA",151666.67,992.15,153,2745,700.0,6,-292.15
"Burlington, MA",228333.33,1493.68,94,1803,1200.0,3,-293.68000000000006
"Boston, MA : Dorchester",209404.76,1369.86,60,2124,1050.0,8,-319.8599999999999
"Acton, MA",223333.33,1460.97,97,1720,1133.33,3,-327.6400000000001
"Saugus, MA",209750.0,1372.11,113,1906,1029.17,4,-342.9399999999998
"Medfield, MA",232291.67,1519.57,38,2052,1166.67,5,-352.89999999999986
"Lexington, MA",258332.5,1689.93,7,2420,1333.33,5,-356.60000000000014
"Plymouth, MA",205000.0,1341.04,369,2360,983.33,7,-357.7099999999999
"Wilmington, MA",233333.33,1526.39,112,1887,1158.33,12,-368.0600000000002
"Boston, MA : Jamaica Plain",255416.67,1670.85,4,2130,1300.0,9,-370.8499999999999
"Woburn, MA",225000.0,1471.88,122,1801,1100.0,6,-371.8800000000001
"Arlington, MA",247500.0,1619.06,22,2474,1233.33,5,-385.73
"Lynn, MA",199666.67,1306.15,166,1904,900.0,3,-406.1500000000001
"Medford, MA",241166.67,1577.63,70,2155,1166.67,9,-410.96000000000004
"Haverhill, MA",187500.0,1226.56,274,1830,797.92,4,-428.64
"Natick, MA",234500.0,1534.02,106,1760,1083.33,5,-450.69000000000005
"Andover, MA",236868.33,1549.51,114,1810,1066.67,3,-482.8399999999999
"Waltham, MA",237500.0,1553.65,106,2451,1050.0,4,-503.6500000000001
"Somerville, MA",256666.67,1679.03,10,2144,1166.67,13,-512.3599999999999
"Malden, MA",216133.33,1413.87,68,2148,900.0,3,-513.8699999999999
"Quincy, MA",219166.67,1433.72,178,2169,916.67,4,-517.0500000000001
